customer_code,customer,market,platform,channel
70002017,WindyCity Sports Depot,West Coast,In-Store,Retail
70002018,RockyRidge Outdoors,Northeast,In-Store,Retail
90002001,Seaboard Athletics,Midwest,Online,Retail
90002002,GoldenGate Sports,South,In-Store,Retail
90002003,Northridge Athletics,West Coast,In-Store,Retail
90002004,Coast2Coast Sports Supply,Northeast,In-Store,DTC
90002005,IronPeak Performance,Midwest,Online,DTC
90002006,WestLine Athletics,South,In-Store,DTC
90002007,DesertSprint Sports,West Coast,In-Store,Retail
90002008,Capital City Sports,Northeast,Online,Retail
90002009,GreatLakes Sporting Goods,Midwest,In-Store,Retail
90002010,HomeRun Sporting Co.,Northeast,Online,Retail
90002011,MetroFit Gear,Midwest,In-Store,Retail
90002012,PacificEdge Sporting,South,Online,Retail
90002013,SummitPeak Outfitters,West Coast,Online,Retail
90002014,LoneStar Fitness Mart,Northeast,In-Store,DTC
90002015,TrailBlaze Sports,Midwest,In-Store,Retail
90002016,BayArea Activewear,South,In-Store,Retail
